language,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Lao,576,576,48,532,92.36111111111111,44,7.638888888888889,532,92.36111111111111,4,0.7518796992481203,384,72.18045112781955,0,0.0,148,27.81954887218045,384,72.18045112781955,144,27.06766917293233,23.466510247455247,30.997632833782436,4,20454.947916666668,20268.0,5.9395803332121835,4.478443801403046,18.452830582857132,0
Latvian,468,468,39,429,91.66666666666667,39,8.333333333333334,429,91.66666666666667,1,0.2331002331002331,375,87.41258741258741,1,0.2331002331002331,53,12.354312354312354,376,87.64568764568764,52,12.121212121212121,9.364390688513495,15.55038044143221,1,20437.946581196582,20264.5,5.60371824946159,4.450064301490784,17.62900069355962,0
Lingala,744,744,62,683,91.8010752688172,61,8.198924731182796,683,91.8010752688172,15,2.1961932650073206,461,67.49633967789165,0,0.0,222,32.503660322108345,461,67.49633967789165,207,30.307467057101025,26.978776551109757,33.85643562989739,15,20436.926075268817,20263.5,5.817531633200825,4.453481584787369,18.46865044236183,0
Lithuanian,408,408,34,375,91.91176470588235,33,8.088235294117647,375,91.91176470588235,1,0.26666666666666666,333,88.8,0,0.0,42,11.2,333,88.8,41,10.933333333333334,8.162258649855621,14.496681342591971,1,20437.41911764706,20264.0,5.761100945957735,4.469588935375214,18.255255234241485,0
Luo,648,648,54,594,91.66666666666667,54,8.333333333333334,594,91.66666666666667,18,3.0303030303030303,440,74.07407407407408,0,0.0,154,25.925925925925927,440,74.07407407407408,136,22.895622895622896,19.69729316420826,26.442273563870582,18,20435.304012345678,20262.0,5.88415225227306,4.444638550281525,18.61866608262062,0
Luxembourgish,456,456,38,419,91.8859649122807,37,8.114035087719298,419,91.8859649122807,1,0.2386634844868735,351,83.77088305489261,0,0.0,68,16.2291169451074,351,83.77088305489261,67,15.990453460620525,12.792343155242975,19.806508245264038,1,20435.026315789473,20264.0,5.746643856298506,4.449180603027344,18.33443921804428,0
Macedonian,312,312,26,286,91.66666666666667,26,8.333333333333334,286,91.66666666666667,0,0.0,246,86.01398601398601,1,0.34965034965034963,39,13.636363636363637,247,86.36363636363636,39,13.636363636363637,10.138249335358008,18.098380149495664,0,20433.07051282051,20258.0,5.798965257329819,4.430643558502197,18.306280261278154,0
Malay,288,288,24,265,92.01388888888889,23,7.986111111111111,265,92.01388888888889,1,0.37735849056603776,230,86.79245283018868,0,0.0,35,13.20754716981132,230,86.79245283018868,34,12.830188679245284,9.328576392523422,17.394035192696897,1,20436.256944444445,20262.0,5.635690725511974,4.433600604534149,15.370632147788987,0
Malayalam,276,276,23,254,92.02898550724638,22,7.971014492753623,254,92.02898550724638,3,1.1811023622047243,215,84.64566929133858,0,0.0,39,15.354330708661417,215,84.64566929133858,36,14.173228346456693,10.416527135803436,18.99746205258195,3,20444.659420289856,20265.5,5.722566223014956,4.453863799571991,18.117462694644928,0
Maltese,516,516,43,476,92.24806201550388,40,7.751937984496124,476,92.24806201550388,5,1.050420168067227,369,77.52100840336135,0,0.0,107,22.478991596638654,369,77.52100840336135,102,21.428571428571427,17.978816968873833,25.335793513410433,5,20438.53100775194,20265.0,6.156133601716323,4.45368692278862,19.40300813317299,0
Maori,768,768,64,705,91.796875,63,8.203125,705,91.796875,19,2.6950354609929077,510,72.34042553191489,0,0.0,195,27.659574468085108,510,72.34042553191489,176,24.9645390070922,21.911160080365917,28.289269704414284,19,20436.3125,20263.5,5.557843649527058,4.476444125175476,14.809197288751601,0
Marathi,324,324,27,299,92.28395061728395,25,7.716049382716049,299,92.28395061728395,3,1.0033444816053512,261,87.29096989966555,0,0.0,38,12.709030100334449,261,87.29096989966555,35,11.705685618729097,8.53819451205383,15.844681963394025,3,20426.654320987655,20250.5,5.738343241406076,4.458940774202347,18.17969340682029,0
Mongolian,528,528,44,486,92.04545454545455,42,7.954545454545454,486,92.04545454545455,2,0.411522633744856,381,78.39506172839506,0,0.0,105,21.604938271604937,381,78.39506172839506,103,21.19341563786008,17.793167966994012,25.045480138842684,2,20436.465909090908,20264.0,5.765338693152774,4.443162620067596,18.26185206770897,0
Nepali,300,300,25,275,91.66666666666667,25,8.333333333333334,275,91.66666666666667,1,0.36363636363636365,252,91.63636363636364,1,0.36363636363636365,22,8.0,253,92.0,21,7.636363636363637,5.0486320973741465,11.391340284986672,1,20425.143333333333,20246.0,5.676666654149691,4.442441403865814,18.353475999832156,0
Northern Sotho,720,720,60,661,91.80555555555556,59,8.194444444444445,661,91.80555555555556,32,4.841149773071105,434,65.65809379727685,0,0.0,227,34.341906202723145,434,65.65809379727685,195,29.500756429652043,26.150625262402105,33.08777715601748,32,20439.213888888888,20265.0,5.745831980804602,4.4814009964466095,18.358142852783203,0
Norwegian,348,348,29,321,92.24137931034483,27,7.758620689655173,321,92.24137931034483,1,0.3115264797507788,282,87.85046728971963,1,0.3115264797507788,38,11.838006230529595,283,88.1619937694704,37,11.526479750778817,8.479075763981266,15.48383189666344,1,20432.683908045976,20262.0,6.314040319159113,4.437097907066345,19.727393233776088,0
Nyanja,744,744,62,684,91.93548387096774,60,8.064516129032258,684,91.93548387096774,29,4.239766081871345,441,64.47368421052632,0,0.0,243,35.526315789473685,441,64.47368421052632,214,31.28654970760234,27.924481747292536,34.85763952249649,29,20436.47446236559,20264.5,5.851512496830315,4.43815079331398,18.655253297090532,0
Occitan,396,396,33,363,91.66666666666667,33,8.333333333333334,363,91.66666666666667,0,0.0,309,85.12396694214875,1,0.27548209366391185,53,14.600550964187327,310,85.39944903581267,53,14.600550964187327,11.338837843824967,18.60364989292312,0,20435.30808080808,20263.0,5.644976352501398,4.4444631934165955,14.963365107774734,0
Oriya (Odia),804,804,67,737,91.66666666666667,67,8.333333333333334,737,91.66666666666667,4,0.5427408412483039,603,81.81818181818181,2,0.27137042062415195,132,17.91044776119403,605,82.08955223880596,128,17.367706919945725,14.803751465230649,20.270076507939454,4,20454.880597014926,20270.0,5.83891650626612,4.470139592885971,18.338248240947724,0
Oromo,324,324,27,299,92.28395061728395,25,7.716049382716049,299,92.28395061728395,11,3.678929765886288,160,53.51170568561873,1,0.33444816053511706,138,46.15384615384615,161,53.84615384615385,127,42.474916387959865,37.002370956692445,48.13836896206367,11,20435.48148148148,20263.0,5.77907385594315,4.463101863861084,17.574887698888688,0
Pashto,336,336,28,308,91.66666666666667,28,8.333333333333334,308,91.66666666666667,0,0.0,228,74.02597402597402,0,0.0,80,25.974025974025974,228,74.02597402597402,80,25.974025974025974,21.394209013699193,31.145776990824135,0,20436.324404761905,20261.0,5.692441602725358,4.457223057746887,18.003998339176178,0
Persian,264,264,22,242,91.66666666666667,22,8.333333333333334,242,91.66666666666667,1,0.4132231404958678,205,84.7107438016529,0,0.0,37,15.289256198347108,205,84.7107438016529,36,14.87603305785124,10.942882328032411,19.90686091076342,1,20429.674242424244,20251.0,6.272854233329946,4.47105485200882,19.58227285146713,0
